Tanggal,Suhu Minimum (°C),Suhu Maksimum (°C),Suhu Rata-rata (°C),Kelembaban Rata-rata (%),Curah Hujan (mm),Lama Penyinaran (jam),Kecepatan Angin Rata-rata (knot),Arah Angin Terbanyak (deg),Kecepatan Angin Terbesar (knot),Arah Angin Saat Kecepatan Maksimum (deg)
17/01/2018,0,32.2,30.5,66,0,0,2,N ,6,260
18/01/2018,24.8,0,27.7,84,0,2,1,N ,4,220
19/01/2018,0,31.8,27.6,80,10.1,3.2,3,W ,8,250
20/01/2018,25.4,29.2,27,78,0,1.5,2,W ,8,270
21/01/2018,24.8,31.2,27,84,2.4,0.3,1,N ,4,240
22/01/2018,25.2,30,26.6,86,0,6.3,1,N ,4,250
23/01/2018,24.8,31.8,27.1,84,1.5,0,1,N ,5,230
24/01/2018,24.4,32.6,28,82,0,1.5,2,N ,5,220
25/01/2018,24.8,32.8,27.9,79,0,7.2,3,W ,5,240
26/01/2018,25.6,0,28.3,76,0,1,2,N ,5,250
27/01/2018,0,33,28,79,0.2,3,2,W ,7,250
28/01/2018,24.6,32.8,27.6,83,21,6.2,2,W ,5,280
29/01/2018,0,31.8,27.5,81,0,5.3,2,W ,6,250
30/01/2018,25,30.8,27.2,83,0,3.2,2,W ,4,250
31/01/2018,24.6,0,26.7,86,0.1,5.2,2,N ,7,260
1/2/2018,24.8,0,27.1,86,0.2,4.5,2,W ,8,230
2/2/2018,24.4,32.7,27.8,85,0,7.3,1,N ,3,100
3/2/2018,25.2,32,27.2,84,0,4.2,1,N ,5,290
4/2/2018,25.2,32.4,27,84,0,2.2,1,N ,4,220
5/2/2018,24.8,30.1,26.5,87,25.4,9,1,N ,4,300
6/2/2018,24.2,32.6,27.6,79,0,0,2,W ,4,270
7/2/2018,24.5,31.3,27,85,4,7.3,1,N ,4,220
8/2/2018,24.4,32.1,27.6,81,0,4,1,N ,5,230
9/2/2018,24.2,32,27.2,81,0,6.3,2,SW,8,220
10/2/2018,24.8,32.7,27.8,77,0,8,2,W ,7,230
11/2/2018,24.2,33.4,27.4,82,0,7,2,N ,10,240
12/2/2018,24.7,31.8,27.3,83,0,6.5,1,W ,5,240
13/02/2018,24.8,32.1,27.6,82,0.3,0,1,W ,5,220
14/02/2018,25,32.2,27.8,77,0,3,2,W ,8,230
15/02/2018,24.4,32.4,26.2,89,1.7,2.2,2,N ,8,230
16/02/2018,23.3,32.2,27.2,82,13.1,3.5,2,W ,5,220
17/02/2018,24,32.6,27.8,80,0.6,9,2,W ,8,220
